sample	true_super_pop	kmeans	ward
HG02679	AFR	0	1
HG02408	EAS	2	2
NA19087	EAS	2	2
HG04059	SAS	1	3
HG00534	EAS	2	2
NA20529	EUR	4	0
NA18908	AFR	0	1
NA18555	EAS	2	2
HG00178	EUR	4	0
HG03298	AFR	0	1
NA18745	EAS	2	2
HG03955	SAS	1	3
HG02025	EAS	2	2
HG02652	SAS	1	3
NA11893	EUR	4	0
HG00737	AMR	4	0
HG00443	EAS	2	2
HG03722	SAS	1	3
HG00325	EUR	4	0
HG01148	AMR	4	0
HG02348	AMR	3	4
NA18639	EAS	2	2
HG01479	AMR	4	0
HG03741	SAS	1	3
HG03130	AFR	0	1
HG01612	EUR	4	0
HG01464	AMR	3	0
HG04229	SAS	1	3
NA20822	EUR	4	0
HG00683	EAS	2	2
HG01813	EAS	2	2
NA18946	EAS	2	2
NA20332	AFR	0	1
NA20864	SAS	1	3
NA19347	AFR	0	1
NA19818	AFR	4	0
HG02484	AFR	0	1
NA18907	AFR	0	1
NA21135	SAS	1	3
NA20757	EUR	4	0
HG00271	EUR	4	0
NA19764	AMR	4	0
HG02309	AFR	0	1
HG03898	SAS	1	3
NA18747	EAS	2	2
HG00266	EUR	4	0
HG02153	EAS	2	2
NA19401	AFR	0	1
HG01882	AFR	0	1
HG03099	AFR	0	1
NA20412	AFR	0	1
HG02230	EUR	4	0
HG01631	EUR	4	0
HG01495	AMR	4	0
NA19323	AFR	0	1
HG00349	EUR	4	0
HG03896	SAS	1	3
HG02166	EAS	2	2
HG00344	EUR	4	0
NA18877	AFR	0	1
NA18912	AFR	0	1
HG03934	SAS	1	3
HG02922	AFR	0	1
HG00599	EAS	2	2
HG00336	EUR	4	0
HG04227	SAS	1	3
HG02322	AFR	0	1
NA18620	EAS	2	2
NA18979	EAS	2	2
NA19756	AMR	3	0
HG00373	EUR	4	0
HG00742	AMR	4	0
NA18983	EAS	2	2
HG02141	EAS	2	2
NA18868	AFR	0	1
HG02979	AFR	0	1
HG02060	EAS	2	2
HG03619	SAS	1	3
HG02817	AFR	0	1
HG03019	SAS	1	3
HG03079	AFR	0	1
NA20792	EUR	4	0
HG01974	AMR	3	4
NA19399	AFR	0	1
HG03645	SAS	1	3
NA20515	EUR	4	0
HG03866	SAS	1	3
HG04002	SAS	1	3
HG01682	EUR	4	0
HG01402	AMR	4	0
HG01521	EUR	4	0
HG03577	AFR	0	1
HG01374	AMR	4	0
HG03967	SAS	1	3
HG02102	AMR	3	4
NA21112	SAS	1	3
HG00252	EUR	4	0
HG00766	EAS	2	2
HG02231	EUR	4	0
HG00381	EUR	4	0
NA20535	EUR	4	0
NA19146	AFR	0	1
NA19012	EAS	2	2
HG01513	EUR	4	0
NA18508	AFR	0	1
HG00253	EUR	4	0
NA19377	AFR	0	1
HG02308	AFR	0	1
HG02383	EAS	2	2
HG01247	AMR	4	0
NA19982	AFR	0	1
NA19473	AFR	0	1
NA18628	EAS	2	2
HG00277	EUR	4	0
NA21116	SAS	1	3
HG03224	AFR	0	1
HG03028	AFR	0	1
NA19652	AMR	4	0
NA18624	EAS	2	2
NA19773	AMR	4	0
HG01798	EAS	2	2
HG02374	EAS	2	2
HG02221	EUR	4	0
NA12761	EUR	4	0
HG03212	AFR	0	1
HG02131	EAS	2	2
HG02384	EAS	2	2
NA19755	AMR	3	4
HG03168	AFR	0	1
NA20810	EUR	4	0
NA19004	EAS	2	2
HG01403	AMR	4	0
NA20362	AFR	0	1
HG00355	EUR	4	0
NA19670	AMR	4	0
HG03085	AFR	0	1
NA20888	SAS	1	3
HG02941	AFR	0	1
NA20796	EUR	4	0
NA18643	EAS	2	2
NA19403	AFR	0	1
HG03691	SAS	1	3
HG00125	EUR	4	0
HG01121	AMR	3	0
HG00268	EUR	4	0
HG03027	AFR	0	1
NA18997	EAS	2	2
HG02067	EAS	2	2
HG00171	EUR	4	0
HG01139	AMR	3	0
NA19664	AMR	3	0
NA18917	AFR	0	1
NA07357	EUR	4	0
HG01785	EUR	4	0
NA18530	EAS	2	2
HG02003	AMR	3	4
NA20756	EUR	4	0
HG02190	EAS	2	2
HG00129	EUR	4	0
NA20299	AFR	3	0
NA20339	AFR	0	1
HG04164	SAS	1	3
HG01589	SAS	1	3
HG02006	AMR	0	0
HG03872	SAS	1	3
NA18646	EAS	2	2
HG01851	EAS	2	2
HG02982	AFR	0	1
HG02156	EAS	2	2
NA19091	EAS	2	2
NA20766	EUR	4	0
HG02497	AFR	0	1
HG03175	AFR	0	1
HG02558	AFR	0	1
HG02582	AFR	0	1
HG03743	SAS	1	3
HG00237	EUR	4	0
HG01618	EUR	4	0
HG03803	SAS	1	3
NA12413	EUR	4	0
HG03455	AFR	0	1
HG01516	EUR	4	0
HG03907	SAS	1	3
NA20540	EUR	4	0
HG01507	EUR	4	0
NA19147	AFR	0	1
HG03464	AFR	0	1
NA19920	AFR	0	1
HG04047	SAS	1	3
HG01440	AMR	4	0
HG03112	AFR	0	1
HG03057	AFR	0	1
NA20291	AFR	0	1
NA19916	AFR	0	1
HG00662	EAS	2	2
NA18943	EAS	2	2
HG01843	EAS	2	2
HG02040	EAS	2	2
HG01168	AMR	4	0
NA18519	AFR	0	1
HG02286	AMR	3	4
NA10847	EUR	4	0
HG02676	AFR	0	1
NA20878	SAS	1	3
NA19020	AFR	0	1
HG01137	AMR	3	0
HG00978	EAS	2	2
HG01205	AMR	4	0
HG00158	EUR	4	0
HG02113	EAS	2	2
HG02496	AFR	0	1
HG01095	AMR	4	0
HG02687	SAS	1	3
NA19119	AFR	0	1
NA20802	EUR	4	0
HG01766	EUR	4	0
NA20798	EUR	4	0
NA18986	EAS	2	2
HG02603	SAS	1	3
HG01204	AMR	4	0
NA20527	EUR	4	0
HG00628	EAS	2	2
HG03809	SAS	1	3
HG03096	AFR	0	1
HG02973	AFR	0	1
HG02256	AFR	0	1
NA18544	EAS	2	2
HG01845	EAS	2	2
HG04144	SAS	1	3
HG00254	EUR	4	0
NA11933	EUR	4	0
HG00613	EAS	2	2
HG00331	EUR	4	0
HG03805	SAS	1	3
HG02433	AFR	0	1
HG03476	AFR	0	1
HG01846	EAS	2	2
HG03821	SAS	1	3
NA20589	EUR	4	0
HG01459	AMR	3	0
HG03109	AFR	0	1
HG03228	SAS	1	3
HG02389	EAS	2	2
NA21125	SAS	1	3
HG01702	EUR	4	0
HG01515	EUR	4	0
HG04003	SAS	1	3
HG01064	AMR	4	0
HG03385	AFR	0	1
HG02442	AFR	0	1
HG02610	AFR	0	1
NA21092	SAS	1	3
HG02053	AFR	0	1
HG02420	AFR	0	0
HG01815	EAS	2	2
NA18881	AFR	0	1
HG03944	SAS	1	3
NA21101	SAS	1	3
HG03049	AFR	0	1
HG02089	AMR	3	0
NA19750	AMR	4	0
HG02292	AMR	3	4
HG01070	AMR	4	0
HG02557	AFR	0	1
HG01892	AMR	3	4
NA18596	EAS	2	2
HG04134	SAS	1	3
HG00590	EAS	2	2
HG01396	AMR	4	0
HG00610	EAS	2	2
NA19064	EAS	2	2
HG03690	SAS	1	3
HG02805	AFR	0	1
HG03514	AFR	0	1
HG03781	SAS	1	3
NA20813	EUR	4	0
NA19041	AFR	0	1
NA19434	AFR	0	1
NA21143	SAS	1	3
NA19456	AFR	0	1
HG03824	SAS	1	3
HG02733	SAS	1	3
HG04222	SAS	1	3
NA19394	AFR	0	1
HG00650	EAS	2	2
HG00463	EAS	2	2
HG03790	SAS	1	3
HG02521	EAS	2	2
NA18909	AFR	0	1
HG04131	SAS	1	3
HG02088	EAS	2	2
HG04186	SAS	1	3
NA20342	AFR	0	0
HG02215	EUR	4	0
NA19003	EAS	2	2
HG01893	AMR	3	0
HG04023	SAS	1	3
HG02082	EAS	2	2
HG04006	SAS	1	3
HG01277	AMR	3	0
HG01967	AMR	3	0
HG03040	AFR	0	1
HG01342	AMR	3	0
NA18941	EAS	2	2
HG01326	AMR	4	0
NA20538	EUR	4	0
NA19376	AFR	0	1
HG00879	EAS	2	2
HG02048	EAS	2	2
HG03538	AFR	0	1
HG03742	SAS	1	3
NA20768	EUR	4	0
NA21130	SAS	1	3
NA18923	AFR	0	1
NA18924	AFR	0	1
NA19711	AFR	0	1
HG02635	AFR	0	1
HG02970	AFR	0	1
NA18543	EAS	2	2
HG00244	EUR	4	0
HG01528	EUR	4	0
NA19079	EAS	2	2
HG02983	AFR	0	1
HG01965	AMR	3	4
HG01067	AMR	4	0
HG03539	AFR	0	1
NA20786	EUR	4	0
HG02811	AFR	0	1
HG02427	AFR	0	1
HG00231	EUR	4	0
NA20519	EUR	4	0
HG03391	AFR	0	1
NA20543	EUR	4	0
HG01608	EUR	4	0
NA18611	EAS	2	2
HG00106	EUR	4	0
NA21088	SAS	1	3
HG02178	EAS	2	2
HG04060	SAS	1	3
HG03875	SAS	1	3
HG04080	SAS	1	3
HG03986	SAS	1	3
NA11918	EUR	4	0
NA19984	AFR	0	0
HG02769	AFR	0	1
HG03491	SAS	1	3
NA18619	EAS	2	2
HG01871	EAS	2	2
NA19663	AMR	3	4
NA20867	SAS	1	3
HG02585	AFR	0	1
HG02594	AFR	0	1
HG00159	EUR	4	0
HG00638	AMR	4	0
HG00619	EAS	2	2
HG01551	AMR	3	0
HG03941	SAS	1	3
HG01565	AMR	3	0
NA07000	EUR	4	0
HG01989	AFR	0	1
HG01985	AFR	0	1
HG01977	AMR	3	4
HG02219	EUR	4	0
NA18990	EAS	2	2
HG03517	AFR	0	1
NA18618	EAS	2	2
HG02049	EAS	2	2
HG02759	AFR	0	1
HG02895	AFR	0	1
HG03779	SAS	1	3
HG00365	EUR	4	0
HG02016	EAS	2	2
HG01610	EUR	4	0
NA19360	AFR	0	1
NA21104	SAS	1	3
HG02757	AFR	0	1
HG03388	AFR	0	1
HG03589	SAS	1	3
NA19435	AFR	0	1
HG01111	AMR	4	0
NA18558	EAS	2	2
NA19144	AFR	0	1
NA18522	AFR	0	1
HG02881	AFR	0	1
HG03238	SAS	1	3
HG00343	EUR	4	0
HG02179	EAS	2	2
HG02343	AFR	0	1
HG03917	SAS	1	3
NA20318	AFR	0	1
HG00261	EUR	4	0
HG00245	EUR	4	0
HG01862	EAS	2	2
HG01345	AMR	4	0
HG03745	SAS	1	3
HG03088	AFR	0	1
HG01461	AMR	4	0
HG00382	EUR	4	0
HG01506	EUR	4	0
NA18981	EAS	2	2
NA19076	EAS	2	2
HG04238	SAS	1	3
HG01710	EUR	4	0
NA18757	EAS	2	2
HG03118	AFR	0	1
HG02299	AMR	3	4
HG03646	SAS	1	3
HG03947	SAS	1	3
NA19321	AFR	0	1
HG01866	EAS	2	2
HG03945	SAS	1	3
HG04100	SAS	1	3
HG02974	AFR	0	1
HG01248	AMR	4	0
HG03882	SAS	1	3
HG00328	EUR	4	0
HG00684	EAS	2	2
HG01668	EUR	4	0
NA19209	AFR	0	1
HG02678	AFR	0	1
HG02724	SAS	1	3
HG00330	EUR	4	0
HG01281	AMR	4	0
HG00367	EUR	4	0
NA20762	EUR	4	0
HG02235	EUR	4	0
HG02419	AFR	0	1
HG00701	EAS	2	2
HG04176	SAS	1	3
HG02312	AMR	3	4
HG03515	AFR	0	1
HG00186	EUR	4	0
HG00265	EUR	4	0
HG03694	SAS	1	3
HG01936	AMR	3	4
HG01867	EAS	2	2
HG03195	AFR	0	1
HG03884	SAS	1	3
NA18856	AFR	0	1
HG02355	EAS	2	2
HG00452	EAS	2	2
HG04180	SAS	1	3
NA18973	EAS	2	2
NA20758	EUR	4	0
HG01918	AMR	3	0
HG03851	SAS	1	3
HG01531	EUR	4	0
HG01932	AMR	3	4
HG03815	SAS	1	3
HG00728	EAS	2	2
HG03850	SAS	1	3
NA19116	AFR	0	1
HG01112	AMR	4	0
HG03300	AFR	0	1
HG03301	AFR	0	1
HG00259	EUR	4	0
HG03048	AFR	0	1
NA19000	EAS	2	2
HG03479	AFR	0	1
HG03985	SAS	1	3
NA21090	SAS	1	3
HG01312	AMR	4	0
HG03814	SAS	1	3
HG01708	EUR	4	0
HG03209	AFR	0	1
NA19747	AMR	3	0
HG03643	SAS	1	3
HG01536	EUR	4	0
HG02291	AMR	3	4
HG03600	SAS	1	3
NA20517	EUR	4	0
HG01462	AMR	3	0
NA20531	EUR	4	0
HG02154	EAS	2	2
HG00332	EUR	4	0
HG01260	AMR	3	0
NA18989	EAS	2	2
NA20506	EUR	4	0
HG02810	AFR	0	1
HG01869	EAS	2	2
HG03649	SAS	1	3
NA19143	AFR	0	1
NA20882	SAS	1	3
HG02703	AFR	0	1
NA18984	EAS	2	2
HG01699	EUR	4	0
HG03771	SAS	1	3
NA19731	AMR	3	4
HG04185	SAS	1	3
HG02253	AMR	4	0
HG02072	EAS	2	2
NA19776	AMR	4	0
HG01986	AFR	0	1
HG03895	SAS	1	3
HG00118	EUR	4	0
HG02836	AFR	0	1
HG01119	AMR	4	0
HG00112	EUR	4	0
NA19752	AMR	3	0
HG03100	AFR	0	1
HG03625	SAS	1	3
HG03692	SAS	1	3
HG00380	EUR	4	0
NA12249	EUR	4	0
HG01271	AMR	4	0
NA20906	SAS	1	3
NA19038	AFR	0	1
HG00151	EUR	4	0
NA12003	EUR	4	0
NA12775	EUR	4	0
NA20896	SAS	1	3
HG03225	AFR	0	1
HG01970	AMR	3	0
NA19712	AFR	0	1
NA18647	EAS	2	2
HG01849	EAS	2	2
HG03687	SAS	1	3
HG00115	EUR	4	0
HG00346	EUR	4	0
HG04219	SAS	1	3
NA19651	AMR	3	0
HG02019	EAS	2	2
NA18864	AFR	0	1
HG00372	EUR	4	0
NA19429	AFR	0	1
NA20294	AFR	0	1
HG03163	AFR	0	1
HG03382	AFR	0	1
HG00449	EAS	2	2
HG01510	EUR	4	0
HG01807	EAS	2	2
NA19099	AFR	0	1
HG02601	SAS	1	3
HG00137	EUR	4	0
HG04158	SAS	1	3
HG01896	AFR	0	1
NA12760	EUR	4	0
HG00176	EUR	4	0
NA20861	SAS	1	3
HG01412	AMR	4	0
NA20804	EUR	4	0
NA20887	SAS	1	3
NA20317	AFR	0	1
HG01284	AMR	3	0
HG03097	AFR	0	1
NA18959	EAS	2	2
HG03786	SAS	1	3
HG01272	AMR	3	0
NA21091	SAS	1	3
NA12872	EUR	4	0
HG01359	AMR	4	0
NA19239	AFR	0	1
HG02968	AFR	0	1
HG03774	SAS	1	3
NA12748	EUR	4	0
HG03990	SAS	1	3
NA12383	EUR	4	0
NA19922	AFR	0	1
NA18933	AFR	0	1
HG00445	EAS	2	2
HG03439	AFR	0	1
HG03061	AFR	0	1
NA20520	EUR	4	0
HG02339	AFR	0	1
HG03367	AFR	0	1
HG03837	SAS	1	3
HG00275	EUR	4	0
HG02756	AFR	0	1
HG01198	AMR	4	0
HG03976	SAS	1	3
HG01973	AMR	3	4
NA18577	EAS	2	2
HG03785	SAS	1	3
HG03689	SAS	1	3
HG01768	EUR	4	0
HG00407	EAS	2	2
HG01933	AMR	3	4
NA21117	SAS	1	3
HG01140	AMR	4	0
HG02445	AFR	0	1
NA19446	AFR	0	1
HG02150	AMR	3	4
NA19372	AFR	0	1
HG02737	SAS	1	3
NA18636	EAS	2	2
HG00126	EUR	4	0
NA19256	AFR	0	1
NA20503	EUR	4	0
HG01254	AMR	4	0
HG01031	EAS	2	2
HG02185	EAS	2	2
HG01707	EUR	4	0
HG03663	SAS	1	3
HG02409	EAS	2	2
HG03351	AFR	0	1
HG01494	AMR	3	0
NA20910	SAS	1	3
NA20298	AFR	0	1
HG00672	EAS	2	2
HG02634	AFR	0	1
HG01188	AMR	4	0
HG02023	EAS	2	2
HG04153	SAS	1	3
HG01101	AMR	4	0
HG01789	EUR	4	0
HG02085	EAS	2	2
NA19331	AFR	0	1
HG01954	AMR	3	4
HG02367	EAS	2	2
HG00269	EUR	4	0
HG02790	SAS	1	3
HG04025	SAS	1	3
HG03642	SAS	1	3
HG01619	EUR	4	0
NA20534	EUR	4	0
HG03575	AFR	0	1
HG01990	AFR	0	1
HG03229	SAS	1	3
HG00235	EUR	4	0
HG01623	EUR	4	0
HG03270	AFR	0	1
HG01697	EUR	4	0
HG02285	AMR	3	4
HG01344	AMR	3	0
NA18550	EAS	2	2
HG00656	EAS	2	2
HG00329	EUR	4	0
NA20281	AFR	0	1
HG00551	AMR	4	0
HG03812	SAS	1	3
NA11840	EUR	4	0
HG03867	SAS	1	3
NA19703	AFR	0	1
NA12399	EUR	4	0
NA18961	EAS	2	2
NA19081	EAS	2	2
NA19921	AFR	0	0
HG00182	EUR	4	0
NA12750	EUR	4	0
HG03823	SAS	1	3
HG00376	EUR	4	0
NA18570	EAS	2	2
NA07056	EUR	4	0
HG02681	SAS	1	3
HG04035	SAS	1	3
HG03672	SAS	1	3
NA20516	EUR	4	0
NA20522	EUR	4	0
HG02804	AFR	0	1
NA21102	SAS	1	3
NA20274	AFR	3	0
HG03644	SAS	1	3
NA19726	AMR	3	0
NA12272	EUR	4	0
HG00641	AMR	4	0
HG02008	AMR	3	4
HG02837	AFR	0	1
HG01414	AMR	4	0
NA20760	EUR	4	0
NA19454	AFR	0	1
NA18572	EAS	2	2
HG03848	SAS	1	3
HG01779	EUR	4	0
HG00473	EAS	2	2
HG03836	SAS	1	3
NA18631	EAS	2	2
NA19236	AFR	0	1
HG02643	AFR	0	1
NA19092	AFR	0	1
NA20355	AFR	0	1
NA19438	AFR	0	1
NA18608	EAS	2	2
NA21126	SAS	1	3
HG00338	EUR	4	0
HG02122	EAS	2	2
NA18615	EAS	2	2
NA19088	EAS	2	2
HG02259	AMR	3	4
HG01777	EUR	4	0
NA12044	EUR	4	0
HG01269	AMR	4	0
HG02233	EUR	4	0
HG00324	EUR	4	0
NA20511	EUR	4	0
NA19009	EAS	2	2
HG03066	AFR	0	1
HG02570	AFR	0	1
HG02275	AMR	3	4
HG01242	AMR	0	0
HG02116	EAS	2	2
HG01801	EAS	2	2
HG02771	AFR	0	1
NA21137	SAS	1	3
NA18528	EAS	2	2
HG03846	SAS	1	3
HG01811	EAS	2	2
NA20897	SAS	1	3
HG02763	AFR	0	1
HG00478	EAS	2	2
NA18962	EAS	2	2
NA19030	AFR	0	1
HG00240	EUR	4	0
HG00242	EUR	4	0
HG01390	AMR	4	0
HG01488	AMR	4	0
HG03681	SAS	1	3
HG01607	EUR	4	0
HG02252	AMR	3	4
HG03518	AFR	0	1
HG01572	AMR	3	4
HG02813	AFR	0	1
HG03267	AFR	0	1
HG03780	SAS	1	3
HG02784	SAS	1	3
HG03951	SAS	1	3
HG02820	AFR	0	1
NA19107	AFR	0	1
NA19657	AMR	3	0
HG01122	AMR	4	0
NA12763	EUR	4	0
NA21107	SAS	1	3
HG02555	AFR	0	1
HG02262	AMR	3	4
NA18633	EAS	2	2
HG04017	SAS	1	3
HG03567	AFR	0	1
HG03696	SAS	1	3
NA19171	AFR	0	1
HG03634	SAS	1	3
NA12751	EUR	4	0
HG03702	SAS	1	3
NA19324	AFR	0	1
NA20807	EUR	4	0
NA18967	EAS	2	2
HG03593	SAS	1	3
HG03916	SAS	1	3
HG02611	AFR	0	1
HG00422	EAS	2	2
HG00351	EUR	4	0
HG04090	SAS	1	3
NA19658	AMR	4	0
HG01992	AMR	3	4
HG00704	EAS	2	2
HG00956	EAS	2	2
NA21103	SAS	1	3
HG01630	EUR	4	0
HG01365	AMR	4	0
NA19138	AFR	0	1
NA19374	AFR	0	1
HG00566	EAS	2	2
HG02728	SAS	1	3
HG01953	AMR	3	0
NA19913	AFR	0	1
HG03973	SAS	1	3
NA20530	EUR	4	0
HG00246	EUR	4	0
HG01519	EUR	4	0
HG01704	EUR	4	0
HG00096	EUR	4	0
HG03757	SAS	1	3
HG01926	AMR	3	4
NA18532	EAS	2	2
HG00282	EUR	4	0
HG03862	SAS	1	3
HG02107	AFR	0	1
HG00257	EUR	4	0
HG01602	EUR	4	0
HG02371	EAS	2	2
HG02130	EAS	2	2
NA20801	EUR	4	0
HG00410	EAS	2	2
NA18579	EAS	2	2
NA18557	EAS	2	2
HG03817	SAS	1	3
NA20875	SAS	1	3
HG02655	SAS	1	3
HG01865	EAS	2	2
NA20513	EUR	4	0
HG02583	AFR	0	1
HG04018	SAS	1	3
NA21144	SAS	1	3
NA19654	AMR	3	0
NA19098	AFR	0	1
HG03754	SAS	1	3
HG03856	SAS	1	3
HG01362	AMR	4	0
NA18939	EAS	2	2
NA18498	AFR	0	1
HG01971	AMR	3	0
NA19201	AFR	0	1
HG03082	AFR	0	1
NA19437	AFR	0	1
HG01676	EUR	4	0
HG00479	EAS	2	2
NA20346	AFR	0	1
HG00260	EUR	4	0
NA19379	AFR	0	1
HG01049	AMR	4	0
NA19023	AFR	0	1
NA19383	AFR	0	1
NA12043	EUR	4	0
HG02410	EAS	2	2
HG03793	SAS	1	3
HG01961	AMR	3	4
NA20899	SAS	1	3
HG04019	SAS	1	3
HG00421	EAS	2	2
HG00140	EUR	4	0
HG01890	AFR	0	1
NA21113	SAS	1	3
HG02136	EAS	2	2
HG01051	AMR	4	0
HG03871	SAS	1	3
NA19175	AFR	0	1
NA19819	AFR	0	0
HG01323	AMR	4	0
HG03714	SAS	1	3
NA20832	EUR	4	0
NA18614	EAS	2	2
HG00290	EUR	4	0
HG01597	EAS	2	2
HG02272	AMR	3	4
HG00357	EUR	4	0
NA19466	AFR	0	1
HG03604	SAS	1	3
NA18867	AFR	0	1
NA20862	SAS	1	3
HG02364	EAS	2	2
HG01131	AMR	4	0
NA19060	EAS	2	2
NA20541	EUR	4	0
HG01771	EUR	4	0
HG00553	AMR	4	0
NA11995	EUR	4	0
HG03826	SAS	1	3
HG01810	EAS	2	2
NA20818	EUR	4	0
HG03784	SAS	1	3
HG03132	AFR	0	1
NA19684	AMR	4	0
HG03911	SAS	1	3
HG02890	AFR	0	1
HG01593	SAS	1	3
HG03521	AFR	0	1
HG01678	EUR	4	0
HG00132	EUR	4	0
HG03854	SAS	1	3
HG02882	AFR	0	1
NA18621	EAS	2	2
NA19669	AMR	4	0
HG03680	SAS	1	3
HG03583	AFR	0	1
HG00280	EUR	4	0
HG04022	SAS	1	3
NA20858	SAS	1	3
HG02133	EAS	2	2
NA18949	EAS	2	2
HG00264	EUR	4	0
HG03660	SAS	1	3
HG01794	EAS	2	2
HG01915	AFR	0	1
HG00671	EAS	2	2
HG01438	AMR	4	0
NA18562	EAS	2	2
HG02128	EAS	2	2
HG03445	AFR	0	1
HG03767	SAS	1	3
NA20850	SAS	1	3
HG03045	AFR	0	1
NA21119	SAS	1	3
NA18547	EAS	2	2
NA21123	SAS	1	3
NA07048	EUR	4	0
NA20869	SAS	1	3
NA11920	EUR	4	0
HG01873	EAS	2	2
NA19160	AFR	0	1
HG02013	AFR	0	1
HG01628	EUR	4	0
NA19308	AFR	0	1
NA18499	AFR	0	1
NA12286	EUR	4	0
HG04183	SAS	1	3
HG00238	EUR	4	0
NA18873	AFR	0	1
NA18971	EAS	2	2
HG00584	EAS	2	2
NA12874	EUR	4	0
NA19678	AMR	4	0
HG01804	EAS	2	2
NA18853	AFR	0	1
HG02029	EAS	2	2
NA20351	AFR	0	1
NA19397	AFR	0	1
HG01679	EUR	4	0
NA18616	EAS	2	2
HG00448	EAS	2	2
HG00103	EUR	4	0
NA07051	EUR	4	0
NA21106	SAS	1	3
NA18977	EAS	2	2
NA18947	EAS	2	2
NA19380	AFR	0	1
NA20542	EUR	4	0
HG03572	AFR	0	1
HG00276	EUR	4	0
NA19355	AFR	0	1
NA20287	AFR	0	1
HG02390	EAS	2	2
HG03280	AFR	0	1
HG02952	AFR	0	1
HG00148	EUR	4	0
HG04042	SAS	1	3
NA20289	AFR	0	1
HG02981	AFR	0	1
NA18865	AFR	0	1
HG04098	SAS	1	3
NA21100	SAS	1	3
HG03556	AFR	0	1
HG03653	SAS	1	3
HG04161	SAS	1	3
HG02798	AFR	0	1
NA19056	EAS	2	2
HG03829	SAS	1	3
NA12005	EUR	4	0
NA20806	EUR	4	0
HG04159	SAS	1	3
NA19090	EAS	2	2
HG00323	EUR	4	0
HG00102	EUR	4	0
NA12341	EUR	4	0
HG01308	AMR	4	0
HG03922	SAS	1	3
NA19248	AFR	0	1
HG02014	AFR	0	1
NA18553	EAS	2	2
NA19676	AMR	4	0
HG00623	EAS	2	2
HG01353	AMR	4	0
HG00475	EAS	2	2
NA19316	AFR	0	1
HG01029	EAS	2	2
NA20895	SAS	1	3
HG03303	AFR	0	1
NA18539	EAS	2	2
HG03160	AFR	0	1
NA19328	AFR	0	1
HG03394	AFR	0	1
NA12829	EUR	4	0
HG01395	AMR	4	0
HG02657	SAS	1	3
HG03469	AFR	0	1
NA20872	SAS	1	3
HG00100	EUR	4	0
HG02380	EAS	2	2
NA19035	AFR	0	1
HG02537	AFR	0	1
HG02891	AFR	0	1
HG03960	SAS	1	3
HG03366	AFR	0	1
HG01942	AMR	3	4
HG02887	AFR	0	1
HG02549	AFR	0	1
HG03311	AFR	0	1
NA19309	AFR	0	1
HG01878	EAS	2	2
HG01951	AMR	3	4
HG03565	AFR	0	1
HG00149	EUR	4	0
NA21122	SAS	1	3
NA12890	EUR	4	0
NA18980	EAS	2	2
NA19065	EAS	2	2
HG00236	EUR	4	0
NA20126	AFR	0	0
HG00731	AMR	4	0
HG04195	SAS	1	3
NA12144	EUR	4	0
HG02505	AFR	0	1
NA20504	EUR	4	0
HG02512	EAS	2	2
HG01334	EUR	4	0
HG01775	EUR	4	0
HG00263	EUR	4	0
HG03069	AFR	0	1
HG02661	SAS	1	3
HG03352	AFR	0	1
NA19430	AFR	0	1
NA21098	SAS	1	3
HG01991	AMR	3	4
HG00111	EUR	4	0
HG03060	AFR	0	1
NA19074	EAS	2	2
HG00446	EAS	2	2
HG03458	AFR	0	1
HG00154	EUR	4	0
HG03136	AFR	0	1
NA12006	EUR	4	0
HG02721	AFR	0	1
HG04118	SAS	1	3
HG03022	SAS	1	3
HG00611	EAS	2	2
NA19771	AMR	3	0
HG01512	EUR	4	0
HG03908	SAS	1	3
HG03199	AFR	0	1
HG03006	SAS	1	3
HG02345	AMR	3	4
NA20903	SAS	1	3
HG02012	AFR	0	1
HG00717	EAS	2	2
HG01624	EUR	4	0
HG03772	SAS	1	3
NA12827	EUR	4	0
NA18637	EAS	2	2
NA19062	EAS	2	2
HG02164	EAS	2	2
NA18963	EAS	2	2
NA19314	AFR	0	1
HG01842	EAS	2	2
HG01583	SAS	1	3
HG00589	EAS	2	2
HG01375	AMR	3	0
NA18545	EAS	2	2
HG02165	EAS	2	2
HG01136	AMR	4	0
HG01695	EUR	4	0
HG03667	SAS	1	3
HG03563	AFR	0	1
NA19914	AFR	0	0
NA19338	AFR	0	1
HG02382	EAS	2	2
HG02351	EAS	2	2
HG03706	SAS	1	3
NA12283	EUR	4	0
HG02151	EAS	2	2
NA20581	EUR	4	0
HG01947	AMR	3	4
HG00759	EAS	2	2
HG03861	SAS	1	3
NA20334	AFR	4	0
NA18740	EAS	2	2
HG00099	EUR	4	0
HG04210	SAS	1	3
HG03830	SAS	1	3
HG02250	EAS	2	2
HG00109	EUR	4	0
HG04209	SAS	1	3
HG03451	AFR	0	1
HG00308	EUR	4	0
NA10851	EUR	4	0
NA19083	EAS	2	2
NA21094	SAS	1	3
NA12717	EUR	4	0
HG00101	EUR	4	0
HG02146	AMR	3	4
HG00458	EAS	2	2
HG02541	AFR	0	1
HG01808	EAS	2	2
HG02009	AFR	0	0
HG00451	EAS	2	2
HG00143	EUR	4	0
HG00119	EUR	4	0
HG02667	AFR	0	1
HG03733	SAS	1	3
NA20868	SAS	1	3
HG00384	EUR	4	0
NA20356	AFR	0	1
HG01776	EUR	4	0
NA19141	AFR	0	1
HG00536	EAS	2	2
HG04014	SAS	1	3
HG01058	AMR	4	0
HG00155	EUR	4	0
NA21093	SAS	1	3
